date,gdp_real,trend,cycle
1970-01-01,5300.652,5267.328663380958,33.32333661904249
1970-04-01,5308.164,5316.979397892406,-8.815397892406509
1970-07-01,5357.077,5366.650959489239,-9.573959489238405
1970-10-01,5299.672,5416.3586656331545,-116.68666563315492
1971-01-01,5443.619,5466.111850061174,-22.492850061174067
1971-04-01,5473.059,5515.846917344297,-42.78791734429706
1971-07-01,5518.072,5565.486214022233,-47.414214022232954
1971-10-01,5531.032,5614.92534418635,-83.89334418635008
1972-01-01,5632.649,5664.030278044256,-31.38127804425585
1972-04-01,5760.47,5712.614552463441,47.85544753655904
1972-07-01,5814.854,5760.472091012618,54.3819089873823
1972-10-01,5912.22,5807.426726915209,104.79327308479151
1973-01-01,6058.544,5853.336282087754,205.20771791224615
1973-04-01,6124.506,5898.124074242473,226.38192575752691
1973-07-01,6092.301,5941.841675915285,150.45932408471526
1973-10-01,6150.131,5984.682148345707,165.44885165429332
1974-01-01,6097.258,6026.932589850812,70.32541014918752
1974-04-01,6111.751,6068.983504279957,42.76749572004337
1974-07-01,6053.978,6111.269348863839,-57.29134886383872
1974-10-01,6030.464,6154.251310517983,-123.78731051798331
1975-01-01,5957.035,6198.354769064872,-241.31976906487216
1975-04-01,5999.61,6243.927737257918,-244.31773725791845
1975-07-01,6102.326,6291.16740299487,-188.8414029948699
1975-10-01,6184.53,6340.118255587693,-155.5882555876933
1976-01-01,6323.649,6390.7067584714805,-67.05775847148016
1976-04-01,6370.025,6442.762132421583,-72.73713242158374
1976-07-01,6404.895,6496.071687114307,-91.17668711430633
1976-10-01,6451.177,6550.377271518194,-99.20027151819431
1977-01-01,6527.703,6605.363749172342,-77.66074917234164
1977-04-01,6654.466,6660.653983446151,-6.187983446150611
1977-07-01,6774.457,6715.822299740787,58.63470025921379
1977-10-01,6774.592,6770.439155967769,4.15284403223086
1978-01-01,6796.26,6824.11165672628,-27.851656726279543
1978-04-01,7058.92,6876.449502143018,182.47049785698164
1978-07-01,7129.915,6927.044985059236,202.87001494076412
1978-10-01,7225.75,6975.604442377344,250.14555762265627
1979-01-01,7238.727,7021.96100475909,216.76599524090943
1979-04-01,7246.454,7066.10414383974,180.34985616026006
1979-07-01,7300.281,7108.1588100015815,192.12218999841843
1979-10-01,7318.535,7148.362672287004,170.17232771299587
1980-01-01,7341.557,7187.073476107144,154.48352389285537
1980-04-01,7190.289,7224.755324577958,-34.4663245779584
1980-07-01,7181.743,7261.968873017836,-80.22587301783551
1980-10-01,7315.677,7299.253235292301,16.423764707698865
1981-01-01,7459.022,7337.097384096243,121.9246159037566
1981-04-01,7403.745,7376.0005569774985,27.7444430225014
1981-07-01,7492.405,7416.538194368836,75.86680563116352
1981-10-01,7410.768,7459.303076979913,-48.535076979913356
1982-01-01,7295.631,7504.935402273907,-209.30440227390682
1982-04-01,7328.912,7554.045033290876,-225.13303329087557
1982-07-01,7300.896,7607.111017819449,-306.2150178194497
1982-10-01,7303.817,7664.471695502457,-360.6546955024569
1983-01-01,7400.066,7726.274021596588,-326.20802159658797
1983-04-01,7568.456,7792.439542173841,-223.98354217384076
1983-07-01,7719.746,7862.685923292721,-142.93992329272078
1983-10-01,7880.794,7936.590841297872,-55.79684129787256
1984-01-01,8034.847,8013.642635081885,21.20436491811506
1984-04-01,8173.67,8093.294770511539,80.37522948846072
1984-07-01,8252.465,8175.013966181692,77.45103381830813
1984-10-01,8320.199,8258.31717520562,61.88182479438001
1985-01-01,8400.82,8342.769757592743,58.05024240725652
1985-04-01,8474.787,8427.975749492975,46.81125050702576
1985-07-01,8604.22,8513.575468457731,90.64453154226794
1985-10-01,8668.188,8599.238489069996,68.94951093000418
1986-01-01,8749.127,8684.691038744968,64.43596125503245
1986-04-01,8788.524,8769.702438342181,18.821561657818165
1986-07-01,8872.601,8854.08228119696,18.518718803041338
1986-10-01,8920.193,8937.65192412066,-17.458924120661322
1987-01-01,8986.367,9020.2442981239,-33.87729812389989
1987-04-01,9083.256,9101.681422389713,-18.425422389713276
1987-07-01,9162.024,9181.764142789802,-19.74014278980212
1987-10-01,9319.332,9260.281789306879,59.0502106931217
1988-01-01,9367.502,9337.011354334407,30.490645665593547
1988-04-01,9490.594,9411.766736647536,78.82726335246298
